Время (сек),Расстояние (см)
0.013,174.01
0.126,174.29
0.239,174.23
0.351,174.16
0.464,174.24
0.577,174.35
0.69,174.19
0.803,174.19
0.915,175.09
1.02,33.4
1.133,175.4
1.238,44.67
1.351,176.21
1.456,44.09
1.561,39.75
1.666,36.64
1.77,27.85
1.875,43.35
1.979,18.25
2.082,16.6
2.186,14.96
2.29,16.33
2.393,16.59
2.496,10.45
2.599,7.83
2.702,7.16
2.805,7.82
2.908,8.46
3.011,9.81
3.115,15.6
3.219,31.72
3.323,20.49
3.427,25.15
3.531,27.45
3.635,32.48
3.74,38.76
3.845,39.49
3.95,44.9
4.055,48.66
4.16,51.01
4.266,51.74
4.372,52.35
4.477,51.38
4.583,51.29
4.688,50.99
4.794,57.37
4.899,49.77
5.004,44.5
5.109,39.73
5.213,33.55
5.318,30.11
5.422,27.8
5.526,30.82
5.631,36.64
5.735,40.17
5.84,43.44
5.946,47.33
6.051,44.43
6.156,42.06
6.27,194.63
6.374,36.48
6.478,31.86
6.582,27.49
6.686,20.78
6.79,16.88
6.893,15.24
6.996,14.54
7.1,14.61
7.203,11.84
7.306,13.17
7.41,27.01
7.514,16.23
7.618,18.98
7.722,26.95
7.826,29.14
7.931,34.02
8.036,40.12
8.141,42.18
8.246,45.82
8.352,57.49
8.458,52.93
8.564,53.3
8.669,50.66
8.775,52.69
8.88,47.55
8.995,198.41
9.099,36.23
9.204,31.48
9.308,28.81
9.412,24.55
9.516,20.96
9.62,19.54
9.723,17.89
9.827,16.69
9.931,17.87
