Временная метка,Расстояние (см)
16:53:00.144,192.04
16:53:00.258,192.14
16:53:00.371,192.11
16:53:00.485,192.15
16:53:00.599,192.1
16:53:00.713,192.06
16:53:00.827,192.12
16:53:00.941,193.55
16:53:01.054,192.18
16:53:01.168,192.03
16:53:01.282,192.14
16:53:01.396,191.73
16:53:01.510,191.96
16:53:01.624,192.07
16:53:01.737,191.63
16:53:01.851,192.15
16:53:01.965,191.7
16:53:02.079,191.67
16:53:02.192,192.05
16:53:02.306,192.07
16:53:02.420,192.01
16:53:02.534,192.13
16:53:02.647,192.12
16:53:02.761,192.07
16:53:02.875,192.13
16:53:02.989,192.03
16:53:03.102,192.14
16:53:03.216,192.02
16:53:03.330,192.12
16:53:03.444,192.03
16:53:03.557,191.72
16:53:03.671,192.04
16:53:03.785,192.06
16:53:03.899,192.0
16:53:04.012,192.1
16:53:04.126,192.1
16:53:04.240,192.04
16:53:04.353,192.04
16:53:04.467,192.22
16:53:04.581,192.27
16:53:04.695,192.15
16:53:04.809,192.17
16:53:04.923,192.17
16:53:05.037,192.14
16:53:05.150,192.56
16:53:05.264,192.43
16:53:05.378,192.17
16:53:05.492,192.59
16:53:05.606,192.6
16:53:05.720,192.36
16:53:05.833,192.14
16:53:05.947,192.58
16:53:06.061,192.45
16:53:06.175,192.56
16:53:06.289,192.28
16:53:06.403,192.06
16:53:06.517,192.08
16:53:06.631,192.63
16:53:06.745,192.53
16:53:06.859,192.06
16:53:06.973,192.28
16:53:07.086,192.29
16:53:07.200,191.98
16:53:07.314,192.12
16:53:07.428,192.3
16:53:07.542,191.98
16:53:07.656,192.08
16:53:07.770,192.57
16:53:07.884,191.87
16:53:07.997,192.23
16:53:08.111,192.18
16:53:08.225,191.91
16:53:08.339,191.99
16:53:08.453,192.12
16:53:08.567,191.91
16:53:08.680,192.03
16:53:08.794,192.21
16:53:08.908,192.09
16:53:09.022,191.49
16:53:09.135,192.1
16:53:09.249,191.96
16:53:09.363,191.69
16:53:09.477,192.03
16:53:09.591,192.03
16:53:09.705,192.14
16:53:09.818,191.65
16:53:09.932,191.92
16:53:10.046,192.01
